se,g,l,a,p,d,v
10.586734694,60601,zip,HDBHR,,2017,85.4
122.27040816,60602,zip,HDBHR,,2017,400.5
493.87755102,60603,zip,HDBHR,,2017,990.3
178.16326531,60604,zip,HDBHR,,2017,674.2
132.42346939,60606,zip,HDBHR,,2017,488.3
13.086734694,60607,zip,HDBHR,,2017,304.1
4.2091836735,60608,zip,HDBHR,,2017,138.8
5.5102040816,60609,zip,HDBHR,,2017,180.2
11.836734694,60612,zip,HDBHR,,2017,429.8
5.1530612245,60616,zip,HDBHR,,2017,126.5
3.5204081633,60618,zip,HDBHR,,2017,104.3
5.9693877551,60619,zip,HDBHR,,2017,218.2
10.535714286,60621,zip,HDBHR,,2017,373.4
7.9336734694,60622,zip,HDBHR,,2017,231.2
5.2040816327,60623,zip,HDBHR,,2017,220.6
10.306122449,60624,zip,HDBHR,,2017,395.4
3.9030612245,60625,zip,HDBHR,,2017,109.8
3.1632653061,60632,zip,HDBHR,,2017,86.2
9.0306122449,60636,zip,HDBHR,,2017,320.4
4.1836734694,60641,zip,HDBHR,,2017,123.7
10.280612245,60642,zip,HDBHR,,2017,132.2
4.6683673469,60647,zip,HDBHR,,2017,157.4
8.8775510204,60654,zip,HDBHR,,2017,106.6
18.214285714,60661,zip,HDBHR,,2017,45.8
8.5714285714,60605,zip,HDBHR,,2017,119.7
6.1479591837,60610,zip,HDBHR,,2017,126.6
6.1479591837,60611,zip,HDBHR,,2017,79.4
6.1479591837,60613,zip,HDBHR,,2017,140.9
4.2857142857,60614,zip,HDBHR,,2017,93.6
6.5051020408,60615,zip,HDBHR,,2017,165.1
4.2091836735,60617,zip,HDBHR,,2017,144.4
5.5612244898,60620,zip,HDBHR,,2017,217.4
7.8826530612,60626,zip,HDBHR,,2017,298.3
5.5867346939,60628,zip,HDBHR,,2017,216.9
3.2653061224,60629,zip,HDBHR,,2017,112.3
4.2091836735,60630,zip,HDBHR,,2017,94.7
6.0204081633,60631,zip,HDBHR,,2017,92.9
9.6428571429,60633,zip,HDBHR,,2017,120.3
3.8265306122,60634,zip,HDBHR,,2017,107.7
7.6530612245,60637,zip,HDBHR,,2017,270.7
4.4132653061,60638,zip,HDBHR,,2017,104.3
4.0306122449,60639,zip,HDBHR,,2017,138.8
6.8367346939,60640,zip,HDBHR,,2017,302.6
5.6887755102,60643,zip,HDBHR,,2017,151.8
9.9744897959,60644,zip,HDBHR,,2017,469.4
5.8673469388,60645,zip,HDBHR,,2017,148.2
5.4591836735,60646,zip,HDBHR,,2017,69.9
7.7040816327,60649,zip,HDBHR,,2017,279.0
6.862244898,60651,zip,HDBHR,,2017,289.8
5.1020408163,60652,zip,HDBHR,,2017,103.1
9.8214285714,60653,zip,HDBHR,,2017,291.8
5.943877551,60655,zip,HDBHR,,2017,97.3
5.1275510204,60656,zip,HDBHR,,2017,67.4
4.6683673469,60657,zip,HDBHR,,2017,98.3
4.7959183673,60659,zip,HDBHR,,2017,88.4
5.8928571429,60660,zip,HDBHR,,2017,150.8
4.9234693878,60707,zip,HDBHR,,2017,104.3
7.5510204082,60827,zip,HDBHR,,2017,156.5
0.8163265306,1714000,place,HDBHR,,2017,173.3
13.316326531,60601,zip,HDBHR,,2016,75.6
91.530612245,60602,zip,HDBHR,,2016,400.9
136.32653061,60603,zip,HDBHR,,2016,489.4
189.54081633,60604,zip,HDBHR,,2016,950.6
77.295918367,60606,zip,HDBHR,,2016,250.2
13.673469388,60607,zip,HDBHR,,2016,315.4
4.3112244898,60608,zip,HDBHR,,2016,144.2
5.4846938776,60609,zip,HDBHR,,2016,181.9
11.964285714,60612,zip,HDBHR,,2016,440.6
5.306122449,60616,zip,HDBHR,,2016,130.9
3.3928571429,60618,zip,HDBHR,,2016,97.2
5.9948979592,60619,zip,HDBHR,,2016,222.1
10.714285714,60621,zip,HDBHR,,2016,382.0
7.8571428571,60622,zip,HDBHR,,2016,225.1
5.4336734694,60623,zip,HDBHR,,2016,239.1
10.841836735,60624,zip,HDBHR,,2016,426.3
3.8010204082,60625,zip,HDBHR,,2016,104.4
3.2142857143,60632,zip,HDBHR,,2016,83.8
9.362244898,60636,zip,HDBHR,,2016,335.7
4.1836734694,60641,zip,HDBHR,,2016,125.9
9.7704081633,60642,zip,HDBHR,,2016,121.3
4.6428571429,60647,zip,HDBHR,,2016,153.4
11.607142857,60654,zip,HDBHR,,2016,114.8
26.020408163,60661,zip,HDBHR,,2016,100.7
6.5051020408,60605,zip,HDBHR,,2016,95.7
6.6581632653,60610,zip,HDBHR,,2016,142.7
5.4081632653,60611,zip,HDBHR,,2016,67.2
5.8418367347,60613,zip,HDBHR,,2016,130.9
3.9030612245,60614,zip,HDBHR,,2016,77.7
6.556122449,60615,zip,HDBHR,,2016,162.8
4.4387755102,60617,zip,HDBHR,,2016,158.8
5.4081632653,60620,zip,HDBHR,,2016,204.6
8.0102040816,60626,zip,HDBHR,,2016,308.8
5.2806122449,60628,zip,HDBHR,,2016,189.8
3.4948979592,60629,zip,HDBHR,,2016,128.0
3.8265306122,60630,zip,HDBHR,,2016,77.2
6.2755102041,60631,zip,HDBHR,,2016,99.0
9.2857142857,60633,zip,HDBHR,,2016,116.2
3.8520408163,60634,zip,HDBHR,,2016,110.3
7.9081632653,60637,zip,HDBHR,,2016,287.2
4.2857142857,60638,zip,HDBHR,,2016,100.0
4.2346938776,60639,zip,HDBHR,,2016,151.5
6.7602040816,60640,zip,HDBHR,,2016,296.2
5.2806122449,60643,zip,HDBHR,,2016,131.8
10.178571429,60644,zip,HDBHR,,2016,485.5
5.9183673469,60645,zip,HDBHR,,2016,154.0
6.1224489796,60646,zip,HDBHR,,2016,84.5
7.6785714286,60649,zip,HDBHR,,2016,280.8
7.2448979592,60651,zip,HDBHR,,2016,316.7
4.7959183673,60652,zip,HDBHR,,2016,91.8
9.4387755102,60653,zip,HDBHR,,2016,268.1
5.9693877551,60655,zip,HDBHR,,2016,100.9
5.1530612245,60656,zip,HDBHR,,2016,69.0
5.3571428571,60657,zip,HDBHR,,2016,117.2
5.1020408163,60659,zip,HDBHR,,2016,99.7
6.0459183673,60660,zip,HDBHR,,2016,158.0
4.7193877551,60707,zip,HDBHR,,2016,94.0
7.1173469388,60827,zip,HDBHR,,2016,135.9
0.8163265306,1714000,place,HDBHR,,2016,174.6
12.933673469,60601,zip,HDBHR,,2014,91.1
115.99489796,60602,zip,HDBHR,,2014,518.4
212.01530612,60604,zip,HDBHR,,2014,1185.2
27.602040816,60606,zip,HDBHR,,2014,146.3
14.489795918,60607,zip,HDBHR,,2014,353.6
4.362244898,60608,zip,HDBHR,,2014,146.5
5.2040816327,60609,zip,HDBHR,,2014,167.1
12.321428571,60612,zip,HDBHR,,2014,465.7
5.4081632653,60616,zip,HDBHR,,2014,133.4
3.6479591837,60618,zip,HDBHR,,2014,108.5
5.612244898,60619,zip,HDBHR,,2014,192.1
11.428571429,60621,zip,HDBHR,,2014,422.4
7.6785714286,60622,zip,HDBHR,,2014,220.2
5.4846938776,60623,zip,HDBHR,,2014,245.9
11.403061224,60624,zip,HDBHR,,2014,467.4
4.1581632653,60625,zip,HDBHR,,2014,125.2
3.0612244898,60632,zip,HDBHR,,2014,77.4
9.1836734694,60636,zip,HDBHR,,2014,321.7
3.9795918367,60641,zip,HDBHR,,2014,114.3
7.7806122449,60642,zip,HDBHR,,2014,82.7
4.693877551,60647,zip,HDBHR,,2014,159.3
11.81122449,60654,zip,HDBHR,,2014,112.5
18.239795918,60661,zip,HDBHR,,2014,52.6
8.4693877551,60605,zip,HDBHR,,2014,120.2
6.5816326531,60610,zip,HDBHR,,2014,144.6
6.1734693878,60611,zip,HDBHR,,2014,65.5
5.5102040816,60613,zip,HDBHR,,2014,116.0
4.6173469388,60614,zip,HDBHR,,2014,106.9
6.1479591837,60615,zip,HDBHR,,2014,143.8
4.0051020408,60617,zip,HDBHR,,2014,130.5
5.4591836735,60620,zip,HDBHR,,2014,205.4
7.8571428571,60626,zip,HDBHR,,2014,294.8
5.1275510204,60628,zip,HDBHR,,2014,180.8
3.3418367347,60629,zip,HDBHR,,2014,117.8
3.9285714286,60630,zip,HDBHR,,2014,82.2
5.7908163265,60631,zip,HDBHR,,2014,86.1
11.326530612,60633,zip,HDBHR,,2014,175.4
3.4693877551,60634,zip,HDBHR,,2014,88.5
7.3724489796,60637,zip,HDBHR,,2014,251.3
4.3367346939,60638,zip,HDBHR,,2014,102.1
4.4387755102,60639,zip,HDBHR,,2014,164.9
7.2959183673,60640,zip,HDBHR,,2014,340.6
5.0510204082,60643,zip,HDBHR,,2014,119.7
10.867346939,60644,zip,HDBHR,,2014,547.3
5.8928571429,60645,zip,HDBHR,,2014,153.2
6.2755102041,60646,zip,HDBHR,,2014,86.3
7.3214285714,60649,zip,HDBHR,,2014,253.5
7.2448979592,60651,zip,HDBHR,,2014,313.7
4.9489795918,60652,zip,HDBHR,,2014,101.8
9.7193877551,60653,zip,HDBHR,,2014,281.9
5.7142857143,60655,zip,HDBHR,,2014,91.5
4.9489795918,60656,zip,HDBHR,,2014,63.7
4.8724489796,60657,zip,HDBHR,,2014,107.8
5.0510204082,60659,zip,HDBHR,,2014,97.4
6.4030612245,60660,zip,HDBHR,,2014,174.7
4.8979591837,60707,zip,HDBHR,,2014,101.9
7.5,60827,zip,HDBHR,,2014,150.0
0.8163265306,1714000,place,HDBHR,,2014,176.3
9.1326530612,60601,zip,HDBHR,,2013,60.2
117.70408163,60602,zip,HDBHR,,2013,388.6
834.23469388,60603,zip,HDBHR,,2013,1790.5
200.30612245,60604,zip,HDBHR,,2013,1124.3
63.392857143,60606,zip,HDBHR,,2013,217.7
10.535714286,60607,zip,HDBHR,,2013,188.8
3.9540816327,60608,zip,HDBHR,,2013,121.0
5.2295918367,60609,zip,HDBHR,,2013,164.4
11.25,60612,zip,HDBHR,,2013,393.1
5.2551020408,60616,zip,HDBHR,,2013,126.6
3.3928571429,60618,zip,HDBHR,,2013,92.4
5.3826530612,60619,zip,HDBHR,,2013,173.3
10.765306122,60621,zip,HDBHR,,2013,378.4
7.5255102041,60622,zip,HDBHR,,2013,209.3
5.3316326531,60623,zip,HDBHR,,2013,231.6
11.428571429,60624,zip,HDBHR,,2013,465.7
3.9795918367,60625,zip,HDBHR,,2013,115.1
3.112244898,60632,zip,HDBHR,,2013,79.6
9.362244898,60636,zip,HDBHR,,2013,334.5
3.7755102041,60641,zip,HDBHR,,2013,100.9
8.2397959184,60642,zip,HDBHR,,2013,85.8
4.7448979592,60647,zip,HDBHR,,2013,159.9
12.117346939,60654,zip,HDBHR,,2013,110.8
25.867346939,60661,zip,HDBHR,,2013,97.7
7.2704081633,60605,zip,HDBHR,,2013,103.0
6.4540816327,60610,zip,HDBHR,,2013,134.7
8.0867346939,60611,zip,HDBHR,,2013,73.1
5.7653061224,60613,zip,HDBHR,,2013,118.5
4.1581632653,60614,zip,HDBHR,,2013,88.8
6.1224489796,60615,zip,HDBHR,,2013,143.7
3.8775510204,60617,zip,HDBHR,,2013,121.5
5.1785714286,60620,zip,HDBHR,,2013,187.4
7.5510204082,60626,zip,HDBHR,,2013,269.0
5.0,60628,zip,HDBHR,,2013,171.1
3.3928571429,60629,zip,HDBHR,,2013,119.7
3.8520408163,60630,zip,HDBHR,,2013,78.9
5.5102040816,60631,zip,HDBHR,,2013,77.3
12.219387755,60633,zip,HDBHR,,2013,197.7
3.2142857143,60634,zip,HDBHR,,2013,74.8
7.2704081633,60637,zip,HDBHR,,2013,243.4
4.0051020408,60638,zip,HDBHR,,2013,85.5
4.1326530612,60639,zip,HDBHR,,2013,140.8
6.9642857143,60640,zip,HDBHR,,2013,313.6
4.7959183673,60643,zip,HDBHR,,2013,110.9
10.280612245,60644,zip,HDBHR,,2013,489.7
5.2551020408,60645,zip,HDBHR,,2013,120.4
5.5357142857,60646,zip,HDBHR,,2013,73.0
7.0663265306,60649,zip,HDBHR,,2013,232.4
6.7091836735,60651,zip,HDBHR,,2013,269.5
4.4387755102,60652,zip,HDBHR,,2013,82.5
9.2602040816,60653,zip,HDBHR,,2013,257.1
5.3316326531,60655,zip,HDBHR,,2013,81.7
4.6428571429,60656,zip,HDBHR,,2013,56.8
4.8214285714,60657,zip,HDBHR,,2013,106.1
4.9489795918,60659,zip,HDBHR,,2013,94.1
6.0969387755,60660,zip,HDBHR,,2013,163.6
4.5918367347,60707,zip,HDBHR,,2013,90.6
7.6530612245,60827,zip,HDBHR,,2013,154.5
0.7908163265,1714000,place,HDBHR,,2013,161.7
14.31122449,60601,zip,HDBHR,,2012,99.8
113.06122449,60602,zip,HDBHR,,2012,468.2
494.64285714,60603,zip,HDBHR,,2012,898.4
184.94897959,60604,zip,HDBHR,,2012,1520.3
41.454081633,60606,zip,HDBHR,,2012,213.8
10.892857143,60607,zip,HDBHR,,2012,184.8
4.1326530612,60608,zip,HDBHR,,2012,131.1
5.6887755102,60609,zip,HDBHR,,2012,190.4
12.576530612,60612,zip,HDBHR,,2012,481.7
5.7908163265,60616,zip,HDBHR,,2012,158.9
3.5459183673,60618,zip,HDBHR,,2012,104.7
6.6836734694,60619,zip,HDBHR,,2012,272.2
12.193877551,60621,zip,HDBHR,,2012,489.6
8.443877551,60622,zip,HDBHR,,2012,264.8
5.7908163265,60623,zip,HDBHR,,2012,268.5
13.596938776,60624,zip,HDBHR,,2012,657.0
4.3112244898,60625,zip,HDBHR,,2012,137.1
2.9336734694,60632,zip,HDBHR,,2012,69.4
10.867346939,60636,zip,HDBHR,,2012,440.9
3.9795918367,60641,zip,HDBHR,,2012,112.1
8.3928571429,60642,zip,HDBHR,,2012,91.1
4.7193877551,60647,zip,HDBHR,,2012,157.5
11.989795918,60654,zip,HDBHR,,2012,131.2
21.12244898,60661,zip,HDBHR,,2012,87.4
7.5510204082,60605,zip,HDBHR,,2012,115.4
7.0663265306,60610,zip,HDBHR,,2012,165.8
8.137755102,60611,zip,HDBHR,,2012,77.4
6.5051020408,60613,zip,HDBHR,,2012,152.3
4.6173469388,60614,zip,HDBHR,,2012,105.9
7.7551020408,60615,zip,HDBHR,,2012,224.1
4.5663265306,60617,zip,HDBHR,,2012,163.2
6.1734693878,60620,zip,HDBHR,,2012,262.0
7.6275510204,60626,zip,HDBHR,,2012,277.1
5.7908163265,60628,zip,HDBHR,,2012,233.1
3.6224489796,60629,zip,HDBHR,,2012,133.3
3.9795918367,60630,zip,HDBHR,,2012,85.2
5.6887755102,60631,zip,HDBHR,,2012,82.4
15.025510204,60633,zip,HDBHR,,2012,291.4
3.3673469388,60634,zip,HDBHR,,2012,83.9
8.8775510204,60637,zip,HDBHR,,2012,350.8
4.2602040816,60638,zip,HDBHR,,2012,97.8
4.2091836735,60639,zip,HDBHR,,2012,142.3
7.5,60640,zip,HDBHR,,2012,366.2
5.4081632653,60643,zip,HDBHR,,2012,138.2
11.709183673,60644,zip,HDBHR,,2012,632.4
5.4081632653,60645,zip,HDBHR,,2012,130.3
5.4846938776,60646,zip,HDBHR,,2012,72.0
8.7755102041,60649,zip,HDBHR,,2012,366.4
7.7295918367,60651,zip,HDBHR,,2012,351.7
4.7959183673,60652,zip,HDBHR,,2012,96.6
11.428571429,60653,zip,HDBHR,,2012,389.7
5.5102040816,60655,zip,HDBHR,,2012,84.8
5.4081632653,60656,zip,HDBHR,,2012,76.1
4.9744897959,60657,zip,HDBHR,,2012,108.1
5.1020408163,60659,zip,HDBHR,,2012,99.6
6.5306122449,60660,zip,HDBHR,,2012,181.5
4.7448979592,60707,zip,HDBHR,,2012,97.3
7.3214285714,60827,zip,HDBHR,,2012,141.7
0.8673469388,1714000,place,HDBHR,,2012,197.9
12.423469388,60601,zip,HDBHR,,2011,80.7
76.326530612,60602,zip,HDBHR,,2011,379.0
134.94897959,60604,zip,HDBHR,,2011,995.3
78.724489796,60606,zip,HDBHR,,2011,264.7
11.81122449,60607,zip,HDBHR,,2011,213.2
4.1581632653,60608,zip,HDBHR,,2011,133.2
5.8418367347,60609,zip,HDBHR,,2011,200.7
13.137755102,60612,zip,HDBHR,,2011,529.7
5.9183673469,60616,zip,HDBHR,,2011,160.6
3.5969387755,60618,zip,HDBHR,,2011,110.6
7.4744897959,60619,zip,HDBHR,,2011,332.1
13.801020408,60621,zip,HDBHR,,2011,591.9
9.0816326531,60622,zip,HDBHR,,2011,305.0
6.3775510204,60623,zip,HDBHR,,2011,327.1
15.102040816,60624,zip,HDBHR,,2011,789.0
4.387755102,60625,zip,HDBHR,,2011,141.8
2.806122449,60632,zip,HDBHR,,2011,63.6
11.81122449,60636,zip,HDBHR,,2011,509.9
4.056122449,60641,zip,HDBHR,,2011,116.8
7.4489795918,60642,zip,HDBHR,,2011,69.2
5.5357142857,60647,zip,HDBHR,,2011,218.8
10.102040816,60654,zip,HDBHR,,2011,124.7
13.443877551,60661,zip,HDBHR,,2011,66.7
8.2397959184,60605,zip,HDBHR,,2011,129.4
7.5,60610,zip,HDBHR,,2011,190.1
7.4489795918,60611,zip,HDBHR,,2011,73.6
6.5816326531,60613,zip,HDBHR,,2011,164.1
5.0255102041,60614,zip,HDBHR,,2011,128.4
8.1887755102,60615,zip,HDBHR,,2011,244.5
4.9744897959,60617,zip,HDBHR,,2011,194.8
6.7857142857,60620,zip,HDBHR,,2011,313.0
7.5765306122,60626,zip,HDBHR,,2011,272.6
6.862244898,60628,zip,HDBHR,,2011,320.3
3.8775510204,60629,zip,HDBHR,,2011,152.0
4.1581632653,60630,zip,HDBHR,,2011,90.3
5.9693877551,60631,zip,HDBHR,,2011,90.7
13.035714286,60633,zip,HDBHR,,2011,217.9
3.4183673469,60634,zip,HDBHR,,2011,85.5
10.637755102,60637,zip,HDBHR,,2011,503.3
4.5918367347,60638,zip,HDBHR,,2011,114.5
4.4642857143,60639,zip,HDBHR,,2011,164.4
8.0357142857,60640,zip,HDBHR,,2011,423.4
5.8163265306,60643,zip,HDBHR,,2011,160.9
11.93877551,60644,zip,HDBHR,,2011,655.9
6.1224489796,60645,zip,HDBHR,,2011,163.3
5.3826530612,60646,zip,HDBHR,,2011,70.0
9.7448979592,60649,zip,HDBHR,,2011,453.7
8.2397959184,60651,zip,HDBHR,,2011,397.6
4.8214285714,60652,zip,HDBHR,,2011,98.4
13.571428571,60653,zip,HDBHR,,2011,547.6
5.2806122449,60655,zip,HDBHR,,2011,78.6
5.2040816327,60656,zip,HDBHR,,2011,69.8
4.7448979592,60657,zip,HDBHR,,2011,108.4
5.1785714286,60659,zip,HDBHR,,2011,100.1
7.1428571429,60660,zip,HDBHR,,2011,224.2
4.5663265306,60707,zip,HDBHR,,2011,88.4
7.6020408163,60827,zip,HDBHR,,2011,152.5
0.9183673469,1714000,place,HDBHR,,2011,226.4
11.93877551,60601,zip,HDBHR,,2010,85.9
104.66836735,60602,zip,HDBHR,,2010,380.7
514.43877551,60603,zip,HDBHR,,2010,1253.7
207.5,60604,zip,HDBHR,,2010,1975.7
61.734693878,60606,zip,HDBHR,,2010,297.1
11.632653061,60607,zip,HDBHR,,2010,205.5
4.2346938776,60608,zip,HDBHR,,2010,134.8
6.1479591837,60609,zip,HDBHR,,2010,223.5
13.571428571,60612,zip,HDBHR,,2010,559.9
5.9693877551,60616,zip,HDBHR,,2010,168.2
3.6989795918,60618,zip,HDBHR,,2010,115.3
7.6020408163,60619,zip,HDBHR,,2010,336.4
14.693877551,60621,zip,HDBHR,,2010,651.8
9.5153061224,60622,zip,HDBHR,,2010,338.0
6.1479591837,60623,zip,HDBHR,,2010,302.2
14.795918367,60624,zip,HDBHR,,2010,748.2
4.387755102,60625,zip,HDBHR,,2010,137.5
2.9081632653,60632,zip,HDBHR,,2010,69.8
12.193877551,60636,zip,HDBHR,,2010,530.8
4.1071428571,60641,zip,HDBHR,,2010,119.9
5.6632653061,60642,zip,HDBHR,,2010,48.3
5.4591836735,60647,zip,HDBHR,,2010,214.4
17.653061224,60654,zip,HDBHR,,2010,139.5
9.8979591837,60661,zip,HDBHR,,2010,54.1
9.4387755102,60605,zip,HDBHR,,2010,134.9
7.4744897959,60610,zip,HDBHR,,2010,186.8
6.1479591837,60611,zip,HDBHR,,2010,74.6
6.25,60613,zip,HDBHR,,2010,145.6
5.0765306122,60614,zip,HDBHR,,2010,127.1
7.9591836735,60615,zip,HDBHR,,2010,232.4
4.8469387755,60617,zip,HDBHR,,2010,185.1
6.7091836735,60620,zip,HDBHR,,2010,305.3
7.8826530612,60626,zip,HDBHR,,2010,294.0
7.0408163265,60628,zip,HDBHR,,2010,338.0
3.8265306122,60629,zip,HDBHR,,2010,151.4
3.8010204082,60630,zip,HDBHR,,2010,77.4
6.0714285714,60631,zip,HDBHR,,2010,95.9
13.545918367,60633,zip,HDBHR,,2010,230.9
3.2397959184,60634,zip,HDBHR,,2010,76.6
10.969387755,60637,zip,HDBHR,,2010,525.3
4.1836734694,60638,zip,HDBHR,,2010,94.7
4.6173469388,60639,zip,HDBHR,,2010,175.0
7.9846938776,60640,zip,HDBHR,,2010,424.4
5.7397959184,60643,zip,HDBHR,,2010,156.0
12.908163265,60644,zip,HDBHR,,2010,742.9
6.6581632653,60645,zip,HDBHR,,2010,192.2
5.8928571429,60646,zip,HDBHR,,2010,80.3
9.6428571429,60649,zip,HDBHR,,2010,436.5
8.0867346939,60651,zip,HDBHR,,2010,383.8
4.9489795918,60652,zip,HDBHR,,2010,101.4
13.571428571,60653,zip,HDBHR,,2010,541.9
5.2295918367,60655,zip,HDBHR,,2010,78.5
4.8724489796,60656,zip,HDBHR,,2010,63.8
4.7448979592,60657,zip,HDBHR,,2010,101.3
5.3571428571,60659,zip,HDBHR,,2010,104.7
7.1683673469,60660,zip,HDBHR,,2010,222.9
5.1020408163,60707,zip,HDBHR,,2010,110.8
7.4489795918,60827,zip,HDBHR,,2010,149.1
0.943877551,1714000,place,HDBHR,,2010,228.9
0.943877551,1714000,place,HDBHR,F,2017,121.8
0.9693877551,1714000,place,HDBHR,F,2016,123.9
0.9948979592,1714000,place,HDBHR,F,2014,132.3
0.9693877551,1714000,place,HDBHR,F,2013,125.5
1.0459183673,1714000,place,HDBHR,F,2012,148.0
1.1224489796,1714000,place,HDBHR,F,2011,168.1
1.1479591837,1714000,place,HDBHR,F,2010,172.9
1.3265306122,1714000,place,HDBHR,M,2017,228.7
1.3265306122,1714000,place,HDBHR,M,2016,228.8
1.3265306122,1714000,place,HDBHR,M,2014,223.4
1.25,1714000,place,HDBHR,M,2013,200.4
1.4030612245,1714000,place,HDBHR,M,2012,251.5
1.5051020408,1714000,place,HDBHR,M,2011,288.6
1.5306122449,1714000,place,HDBHR,M,2010,288.2
1.1734693878,1714000,place,HDBHR,W,2017,107.9
1.1734693878,1714000,place,HDBHR,W,2016,108.5
1.2244897959,1714000,place,HDBHR,W,2014,118.9
1.1479591837,1714000,place,HDBHR,W,2013,105.7
1.1989795918,1714000,place,HDBHR,W,2012,113.6
1.2244897959,1714000,place,HDBHR,W,2011,121.4
1.2244897959,1714000,place,HDBHR,W,2010,119.5
1.7857142857,1714000,place,HDBHR,B,2017,273.2
1.8112244898,1714000,place,HDBHR,B,2016,281.2
1.7857142857,1714000,place,HDBHR,B,2014,279.4
1.7602040816,1714000,place,HDBHR,B,2013,267.1
2.0408163265,1714000,place,HDBHR,B,2012,357.0
2.2704081633,1714000,place,HDBHR,B,2011,431.1
2.2959183673,1714000,place,HDBHR,B,2010,448.4
2.9336734694,1714000,place,HDBHR,AP,2017,119.2
2.9081632653,1714000,place,HDBHR,AP,2016,116.0
2.2448979592,1714000,place,HDBHR,AP,2014,68.5
1.887755102,1714000,place,HDBHR,AP,2013,47.4
1.887755102,1714000,place,HDBHR,AP,2012,47.6
1.5306122449,1714000,place,HDBHR,AP,2011,31.1
1.5051020408,1714000,place,HDBHR,AP,2010,30.0
1.1989795918,1714000,place,HDBHR,H,2017,93.3
1.1989795918,1714000,place,HDBHR,H,2016,95.2
