se,g,l,a,p,d,v
0.0476160264,1714000,place,YRDEP,,2021,43.03
2.091836735,1714000,place,YRDEP,,2019,38.2
1.275510204,1714000,place,YRDEP,,2017,34.7
1.658163265,1714000,place,YRDEP,,2013,32.5
1.607142857,1714000,place,YRDEP,,2011,30.3
2.091836735,1714000,place,YRDEP,,2009,30.5
1.734693878,1714000,place,YRDEP,,2007,30.0
1.734693878,1714000,place,YRDEP,,2005,28.0
1.37755102,1714000,place,YRDEP,,2003,31.1
1.93877551,1714000,place,YRDEP,,2001,34.1
0.0382276288,1714000,place,YRDEP,F,2021,57.96
2.5,1714000,place,YRDEP,F,2019,45.9
1.658163265,1714000,place,YRDEP,F,2017,43.6
2.448979592,1714000,place,YRDEP,F,2013,40.7
2.270408163,1714000,place,YRDEP,F,2011,38.7
2.831632653,1714000,place,YRDEP,F,2009,36.7
2.678571429,1714000,place,YRDEP,F,2007,36.9
2.729591837,1714000,place,YRDEP,F,2005,31.9
2.474489796,1714000,place,YRDEP,F,2003,35.6
2.576530612,1714000,place,YRDEP,F,2001,42.6
0.0842350931,1714000,place,YRDEP,M,2021,28.88
2.346938776,1714000,place,YRDEP,M,2019,29.9
1.607142857,1714000,place,YRDEP,M,2017,24.7
1.760204082,1714000,place,YRDEP,M,2013,23.5
1.505102041,1714000,place,YRDEP,M,2011,21.1
2.5,1714000,place,YRDEP,M,2009,24.9
3.112244898,1714000,place,YRDEP,M,2007,22.6
2.704081633,1714000,place,YRDEP,M,2005,23.8
1.785714286,1714000,place,YRDEP,M,2003,26.0
2.346938776,1714000,place,YRDEP,M,2001,25.2
0.1368551552,1714000,place,YRDEP,W,2021,43.18
4.770408163,1714000,place,YRDEP,W,2019,27.1
3.265306122,1714000,place,YRDEP,W,2017,39.1
6.096938776,1714000,place,YRDEP,W,2013,24.6
6.887755102,1714000,place,YRDEP,W,2011,31.8
4.107142857,1714000,place,YRDEP,W,2009,22.6
4.081632653,1714000,place,YRDEP,W,2007,27.6
4.260204082,1714000,place,YRDEP,W,2005,21.5
3.596938776,1714000,place,YRDEP,W,2003,30.3
6.81122449,1714000,place,YRDEP,W,2001,28.5
0.1135112169,1714000,place,YRDEP,B,2021,41.04
3.112244898,1714000,place,YRDEP,B,2019,36.9
1.93877551,1714000,place,YRDEP,B,2017,31.4
2.37244898,1714000,place,YRDEP,B,2013,29.8
1.709183673,1714000,place,YRDEP,B,2011,26.4
3.06122449,1714000,place,YRDEP,B,2009,29.7
2.423469388,1714000,place,YRDEP,B,2007,27.6
1.964285714,1714000,place,YRDEP,B,2005,26.6
1.964285714,1714000,place,YRDEP,B,2003,30.6
1.862244898,1714000,place,YRDEP,B,2001,34.7
0.2115962195,1714000,place,YRDEP,A,2021,40.18
0.2115962195,1714000,place,YRDEP,AP,2021,40.18
4.821428571,1714000,place,YRDEP,AP,2019,27.1
4.974489796,1714000,place,YRDEP,AP,2017,26.7
4.209183673,1714000,place,YRDEP,AP,2013,27.3
6.862244898,1714000,place,YRDEP,AP,2011,27.6
8.239795918,1714000,place,YRDEP,AP,2009,29.8
5.612244898,1714000,place,YRDEP,AP,2007,11.7
8.086734694,1714000,place,YRDEP,AP,2005,25.6
5.153061224,1714000,place,YRDEP,AP,2003,40.6
6.198979592,1714000,place,YRDEP,AP,2001,19.8
0.0563167445,1714000,place,YRDEP,H,2021,43.3
2.295918367,1714000,place,YRDEP,H,2019,42.7
1.887755102,1714000,place,YRDEP,H,2017,37.1
2.397959184,1714000,place,YRDEP,H,2013,37.6
2.321428571,1714000,place,YRDEP,H,2011,33.8
2.959183673,1714000,place,YRDEP,H,2009,34.1
2.448979592,1714000,place,YRDEP,H,2007,35.8
2.346938776,1714000,place,YRDEP,H,2005,33.1
3.137755102,1714000,place,YRDEP,H,2003,30.8
3.341836735,1714000,place,YRDEP,H,2001,36.1
0.0523430773,1714000,place,YRDEP,GEN1,2021,40.62
0.0718339908,1714000,place,YRDEP,TRA3,2021,83.09
0.0594832694,1714000,place,YRDEP,E,2021,35.37
2.576530612,1714000,place,YRDEP,E,2019,33.7
1.25,1714000,place,YRDEP,E,2017,29.9
1.81122449,1714000,place,YRDEP,E,2013,28.8
1.913265306,1714000,place,YRDEP,E,2011,28.9
2.423469388,1714000,place,YRDEP,E,2009,29.2
1.734693878,1714000,place,YRDEP,E,2007,28.5
1.887755102,1714000,place,YRDEP,E,2005,27.6
1.607142857,1714000,place,YRDEP,E,2003,30.5
0.0530390052,1714000,place,YRDEP,L,2021,67.0
4.591836735,1714000,place,YRDEP,L,2019,59.9
4.158163265,1714000,place,YRDEP,L,2017,59.9
4.668367347,1714000,place,YRDEP,L,2013,58.1
3.928571429,1714000,place,YRDEP,L,2011,43.1
5.586734694,1714000,place,YRDEP,L,2009,43.6
7.066326531,1714000,place,YRDEP,L,2007,54.0
8.979591837,1714000,place,YRDEP,L,2005,57.6
6.658163265,1714000,place,YRDEP,L,2003,47.0
