se,g,l,a,p,d,v
9.1182199158,1714000-4,neighborhood,HCSBHP,,2021-2022,84.429441329
17.211784735,1714000-40,neighborhood,HCSBHP,,2021-2022,62.397378655
15.910921982,1714000-41,neighborhood,HCSBHP,,2021-2022,82.894954154
16.159594679,1714000-42,neighborhood,HCSBHP,,2021-2022,82.165228735
14.139089167,1714000-1,neighborhood,HCSBHP,,2021-2022,49.81188652
16.312407872,1714000-11,neighborhood,HCSBHP,,2021-2022,35.996216943
17.596729994,1714000-12,neighborhood,HCSBHP,,2021-2022,42.74802593
18.831815904,1714000-15,neighborhood,HCSBHP,,2021-2022,45.392527743
13.180114596,1714000-16,neighborhood,HCSBHP,,2021-2022,66.575342639
21.04960675,1714000-17,neighborhood,HCSBHP,,2021-2022,53.57183304
13.088014734,1714000-2,neighborhood,HCSBHP,,2021-2022,27.161813788
22.912496538,1714000-20,neighborhood,HCSBHP,,2021-2022,46.345146022
14.718711709,1714000-22,neighborhood,HCSBHP,,2021-2022,49.003728605
21.028271991,1714000-23,neighborhood,HCSBHP,,2021-2022,44.519851731
14.971498099,1714000-24,neighborhood,HCSBHP,,2021-2022,57.37780444
20.266622376,1714000-26,neighborhood,HCSBHP,,2021-2022,53.180470549
8.4611783731,1714000-3,neighborhood,HCSBHP,,2021-2022,21.384428551
14.880501933,1714000-8,neighborhood,HCSBHP,,2021-2022,38.12539324
21.07497738,1714000-5,neighborhood,HCSBHP,,2021-2022,55.024655197
29.290536538,1714000-50,neighborhood,HCSBHP,,2021-2022,65.664617569
23.030094282,1714000-51,neighborhood,HCSBHP,,2021-2022,64.787092082
12.78806892,1714000-56,neighborhood,HCSBHP,,2021-2022,89.11278278
20.275897785,1714000-59,neighborhood,HCSBHP,,2021-2022,59.696048039
8.0496981125,1714000-6,neighborhood,HCSBHP,,2021-2022,60.746674448
16.501871452,1714000-63,neighborhood,HCSBHP,,2021-2022,47.717218806
19.407211005,1714000-65,neighborhood,HCSBHP,,2021-2022,39.742001343
2.2424161268,1714000-72,neighborhood,HCSBHP,,2021-2022,98.218770891
18.113984351,1714000-73,neighborhood,HCSBHP,,2021-2022,75.107967019
11.868755706,1714000-77,neighborhood,HCSBHP,,2021-2022,61.419792888
2.6598432975,1714000,place,HCSBHP,,2021-2022,35.435939762
3.4955763739,1714000,place,HCSBHP,,2022,36.62436164
17.52741976,1714000-36,neighborhood,HCSBHP,,2020-2021,59.650481638
16.797720625,1714000-4,neighborhood,HCSBHP,,2020-2021,46.249741033
18.857607276,1714000-40,neighborhood,HCSBHP,,2020-2021,55.986784191
11.785663278,1714000-41,neighborhood,HCSBHP,,2020-2021,82.075917262
29.994901248,1714000-42,neighborhood,HCSBHP,,2020-2021,64.866394738
