se,g,l,a,p,d,v
4.8469387755,60607,zip,HDDRR,,2017,44.9
1.7857142857,60608,zip,HDDRR,,2017,23.9
2.5510204082,60609,zip,HDDRR,,2017,35.5
6.2755102041,60612,zip,HDDRR,,2017,115.4
1.5051020408,60616,zip,HDDRR,,2017,12.0
1.0459183673,60618,zip,HDDRR,,2017,10.1
2.7806122449,60619,zip,HDDRR,,2017,53.8
5.0510204082,60621,zip,HDDRR,,2017,86.5
3.1632653061,60622,zip,HDDRR,,2017,37.7
2.5255102041,60623,zip,HDDRR,,2017,48.5
6.0204081633,60624,zip,HDDRR,,2017,131.3
0.8928571429,60625,zip,HDDRR,,2017,6.5
0.8928571429,60632,zip,HDDRR,,2017,6.3
4.5918367347,60636,zip,HDDRR,,2017,85.0
1.1989795918,60641,zip,HDDRR,,2017,10.8
3.5714285714,60642,zip,HDDRR,,2017,16.5
1.7602040816,60647,zip,HDDRR,,2017,22.6
3.0357142857,60654,zip,HDDRR,,2017,14.4
2.7040816327,60605,zip,HDDRR,,2017,18.4
2.7295918367,60610,zip,HDDRR,,2017,25.7
1.6071428571,60611,zip,HDDRR,,2017,7.5
1.4540816327,60613,zip,HDDRR,,2017,8.9
1.2244897959,60614,zip,HDDRR,,2017,7.9
2.9336734694,60615,zip,HDDRR,,2017,34.6
1.7857142857,60617,zip,HDDRR,,2017,25.9
2.4744897959,60620,zip,HDDRR,,2017,46.1
2.0663265306,60626,zip,HDDRR,,2017,21.1
2.6785714286,60628,zip,HDDRR,,2017,53.9
1.3010204082,60629,zip,HDDRR,,2017,17.0
1.1989795918,60630,zip,HDDRR,,2017,7.6
1.8112244898,60631,zip,HDDRR,,2017,9.0
2.806122449,60633,zip,HDDRR,,2017,10.8
1.3775510204,60634,zip,HDDRR,,2017,14.0
4.2346938776,60637,zip,HDDRR,,2017,80.8
1.556122449,60638,zip,HDDRR,,2017,13.0
1.862244898,60639,zip,HDDRR,,2017,29.2
1.7857142857,60640,zip,HDDRR,,2017,23.3
2.193877551,60643,zip,HDDRR,,2017,23.9
5.1275510204,60644,zip,HDDRR,,2017,126.2
1.5051020408,60645,zip,HDDRR,,2017,9.7
2.2959183673,60646,zip,HDDRR,,2017,11.1
3.5714285714,60649,zip,HDDRR,,2017,66.6
4.0051020408,60651,zip,HDDRR,,2017,95.5
1.7091836735,60652,zip,HDDRR,,2017,12.0
4.693877551,60653,zip,HDDRR,,2017,67.5
2.1683673469,60655,zip,HDDRR,,2017,12.7
1.25,60656,zip,HDDRR,,2017,4.4
1.0714285714,60657,zip,HDDRR,,2017,5.8
1.5816326531,60659,zip,HDDRR,,2017,9.1
1.4285714286,60660,zip,HDDRR,,2017,9.4
1.9897959184,60707,zip,HDDRR,,2017,17.1
3.112244898,60827,zip,HDDRR,,2017,26.8
0.3571428571,1714000,place,HDDRR,,2017,32.1
55.408163265,60604,zip,HDDRR,,2016,243.9
5.6632653061,60607,zip,HDDRR,,2016,57.2
1.887755102,60608,zip,HDDRR,,2016,28.2
2.8316326531,60609,zip,HDDRR,,2016,46.4
6.9642857143,60612,zip,HDDRR,,2016,144.2
1.6581632653,60616,zip,HDDRR,,2016,14.1
1.25,60618,zip,HDDRR,,2016,14.2
3.2142857143,60619,zip,HDDRR,,2016,69.8
5.306122449,60621,zip,HDDRR,,2016,95.0
3.0867346939,60622,zip,HDDRR,,2016,35.6
2.5255102041,60623,zip,HDDRR,,2016,48.6
6.5816326531,60624,zip,HDDRR,,2016,156.3
0.8163265306,60625,zip,HDDRR,,2016,5.5
0.8928571429,60632,zip,HDDRR,,2016,6.9
5.0510204082,60636,zip,HDDRR,,2016,99.6
1.2755102041,60641,zip,HDDRR,,2016,11.9
3.7755102041,60642,zip,HDDRR,,2016,19.6
1.862244898,60647,zip,HDDRR,,2016,26.6
2.9846938776,60654,zip,HDDRR,,2016,12.4
3.4693877551,60605,zip,HDDRR,,2016,26.3
2.7040816327,60610,zip,HDDRR,,2016,25.9
1.7602040816,60611,zip,HDDRR,,2016,8.5
1.3775510204,60613,zip,HDDRR,,2016,8.6
1.2244897959,60614,zip,HDDRR,,2016,7.9
3.0867346939,60615,zip,HDDRR,,2016,37.0
2.193877551,60617,zip,HDDRR,,2016,39.3
2.4234693878,60620,zip,HDDRR,,2016,43.8
2.4489795918,60626,zip,HDDRR,,2016,29.6
2.4744897959,60628,zip,HDDRR,,2016,44.8
1.556122449,60629,zip,HDDRR,,2016,24.1
1.3010204082,60630,zip,HDDRR,,2016,9.0
2.4234693878,60631,zip,HDDRR,,2016,14.5
2.3469387755,60633,zip,HDDRR,,2016,7.8
1.3775510204,60634,zip,HDDRR,,2016,14.3
4.5918367347,60637,zip,HDDRR,,2016,94.8
1.8367346939,60638,zip,HDDRR,,2016,18.3
2.193877551,60639,zip,HDDRR,,2016,39.8
1.9132653061,60640,zip,HDDRR,,2016,25.0
2.2193877551,60643,zip,HDDRR,,2016,23.9
5.9183673469,60644,zip,HDDRR,,2016,166.8
1.4030612245,60645,zip,HDDRR,,2016,8.6
2.5765306122,60646,zip,HDDRR,,2016,13.7
3.8775510204,60649,zip,HDDRR,,2016,77.8
4.387755102,60651,zip,HDDRR,,2016,115.6
1.9132653061,60652,zip,HDDRR,,2016,14.9
4.693877551,60653,zip,HDDRR,,2016,67.9
2.1683673469,60655,zip,HDDRR,,2016,12.9
1.5306122449,60656,zip,HDDRR,,2016,6.4
1.1734693878,60657,zip,HDDRR,,2016,7.2
1.4795918367,60659,zip,HDDRR,,2016,8.7
1.5051020408,60660,zip,HDDRR,,2016,10.5
2.2193877551,60707,zip,HDDRR,,2016,20.9
3.2142857143,60827,zip,HDDRR,,2016,28.1
0.3826530612,1714000,place,HDDRR,,2016,37.4
60.433673469,60604,zip,HDDRR,,2014,306.4
5.0510204082,60607,zip,HDDRR,,2014,45.8
1.8367346939,60608,zip,HDDRR,,2014,25.0
2.7040816327,60609,zip,HDDRR,,2014,42.8
7.0663265306,60612,zip,HDDRR,,2014,147.4
2.0153061224,60616,zip,HDDRR,,2014,19.6
1.4540816327,60618,zip,HDDRR,,2014,17.2
2.8826530612,60619,zip,HDDRR,,2014,55.4
5.8673469388,60621,zip,HDDRR,,2014,112.5
3.3418367347,60622,zip,HDDRR,,2014,43.0
2.6020408163,60623,zip,HDDRR,,2014,51.2
6.9132653061,60624,zip,HDDRR,,2014,169.4
0.9948979592,60625,zip,HDDRR,,2014,7.6
0.943877551,60632,zip,HDDRR,,2014,6.8
4.5663265306,60636,zip,HDDRR,,2014,81.1
1.2755102041,60641,zip,HDDRR,,2014,12.0
3.1632653061,60642,zip,HDDRR,,2014,14.0
2.1173469388,60647,zip,HDDRR,,2014,33.4
2.806122449,60654,zip,HDDRR,,2014,10.0
3.443877551,60605,zip,HDDRR,,2014,25.1
2.806122449,60610,zip,HDDRR,,2014,29.3
1.4030612245,60611,zip,HDDRR,,2014,5.9
1.3775510204,60613,zip,HDDRR,,2014,8.1
1.4795918367,60614,zip,HDDRR,,2014,10.9
3.137755102,60615,zip,HDDRR,,2014,38.3
2.0408163265,60617,zip,HDDRR,,2014,33.9
2.2959183673,60620,zip,HDDRR,,2014,38.5
2.6275510204,60626,zip,HDDRR,,2014,33.9
2.3979591837,60628,zip,HDDRR,,2014,41.7
1.556122449,60629,zip,HDDRR,,2014,23.0
1.2755102041,60630,zip,HDDRR,,2014,8.6
2.4744897959,60631,zip,HDDRR,,2014,15.2
1.3265306122,60634,zip,HDDRR,,2014,13.1
4.2602040816,60637,zip,HDDRR,,2014,80.2
1.7091836735,60638,zip,HDDRR,,2014,15.9
2.193877551,60639,zip,HDDRR,,2014,38.8
2.0663265306,60640,zip,HDDRR,,2014,29.3
1.862244898,60643,zip,HDDRR,,2014,17.7
6.1989795918,60644,zip,HDDRR,,2014,181.1
1.862244898,60645,zip,HDDRR,,2014,15.5
2.5255102041,60646,zip,HDDRR,,2014,13.5
