se,g,l,a,p,d,v
4.2346938776,60601,zip,HDSZR,,2017,16.7
18.571428571,60606,zip,HDSZR,,2017,80.8
7.6785714286,60607,zip,HDSZR,,2017,106.6
1.9132653061,60608,zip,HDSZR,,2017,28.5
2.6785714286,60609,zip,HDSZR,,2017,42.7
6.4540816327,60612,zip,HDSZR,,2017,132.9
3.0867346939,60616,zip,HDSZR,,2017,47.6
1.3520408163,60618,zip,HDSZR,,2017,16.1
3.0867346939,60619,zip,HDSZR,,2017,54.6
6.3775510204,60621,zip,HDSZR,,2017,130.7
4.5408163265,60622,zip,HDSZR,,2017,74.7
2.7806122449,60623,zip,HDSZR,,2017,62.2
5.0255102041,60624,zip,HDSZR,,2017,92.7
2.1428571429,60625,zip,HDSZR,,2017,31.1
1.3010204082,60632,zip,HDSZR,,2017,14.0
5.1275510204,60636,zip,HDSZR,,2017,99.6
1.6836734694,60641,zip,HDSZR,,2017,20.6
3.5204081633,60642,zip,HDSZR,,2017,17.6
2.2193877551,60647,zip,HDSZR,,2017,33.5
3.6734693878,60654,zip,HDSZR,,2017,18.7
3.6734693878,60605,zip,HDSZR,,2017,30.8
2.9081632653,60610,zip,HDSZR,,2017,33.1
2.3469387755,60611,zip,HDSZR,,2017,14.4
2.9591836735,60613,zip,HDSZR,,2017,35.7
1.9132653061,60614,zip,HDSZR,,2017,19.4
3.0612244898,60615,zip,HDSZR,,2017,36.6
2.2193877551,60617,zip,HDSZR,,2017,37.9
3.2397959184,60620,zip,HDSZR,,2017,69.9
4.8724489796,60626,zip,HDSZR,,2017,113.5
3.0612244898,60628,zip,HDSZR,,2017,62.4
1.4540816327,60629,zip,HDSZR,,2017,21.9
1.862244898,60630,zip,HDSZR,,2017,18.5
1.8112244898,60631,zip,HDSZR,,2017,9.1
4.6428571429,60633,zip,HDSZR,,2017,29.8
1.6326530612,60634,zip,HDSZR,,2017,20.1
3.8775510204,60637,zip,HDSZR,,2017,68.1
1.3520408163,60638,zip,HDSZR,,2017,9.9
1.9642857143,60639,zip,HDSZR,,2017,31.6
4.056122449,60640,zip,HDSZR,,2017,114.6
2.9336734694,60643,zip,HDSZR,,2017,38.4
6.1989795918,60644,zip,HDSZR,,2017,173.6
3.1632653061,60645,zip,HDSZR,,2017,44.0
1.4285714286,60646,zip,HDSZR,,2017,6.4
4.387755102,60649,zip,HDSZR,,2017,89.0
3.3418367347,60651,zip,HDSZR,,2017,68.8
2.2704081633,60652,zip,HDSZR,,2017,20.9
5.8673469388,60653,zip,HDSZR,,2017,103.4
1.862244898,60655,zip,HDSZR,,2017,9.5
1.8367346939,60656,zip,HDSZR,,2017,9.5
1.9387755102,60657,zip,HDSZR,,2017,18.3
2.2959183673,60659,zip,HDSZR,,2017,20.6
3.6479591837,60660,zip,HDSZR,,2017,59.9
1.6581632653,60707,zip,HDSZR,,2017,12.8
4.1326530612,60827,zip,HDSZR,,2017,44.8
0.4336734694,1714000,place,HDSZR,,2017,45.1
3.2142857143,60601,zip,HDSZR,,2016,10.5
46.581632653,60602,zip,HDSZR,,2016,135.4
11.658163265,60606,zip,HDSZR,,2016,37.7
7.3979591837,60607,zip,HDSZR,,2016,102.7
1.9387755102,60608,zip,HDSZR,,2016,30.0
2.6020408163,60609,zip,HDSZR,,2016,40.8
6.3775510204,60612,zip,HDSZR,,2016,125.8
3.3163265306,60616,zip,HDSZR,,2016,54.2
1.2755102041,60618,zip,HDSZR,,2016,14.4
3.0612244898,60619,zip,HDSZR,,2016,55.7
6.6326530612,60621,zip,HDSZR,,2016,139.1
4.056122449,60622,zip,HDSZR,,2016,59.1
3.112244898,60623,zip,HDSZR,,2016,76.2
5.4591836735,60624,zip,HDSZR,,2016,105.6
2.0663265306,60625,zip,HDSZR,,2016,30.1
1.1989795918,60632,zip,HDSZR,,2016,11.8
5.3316326531,60636,zip,HDSZR,,2016,103.6
1.887755102,60641,zip,HDSZR,,2016,25.3
4.1326530612,60642,zip,HDSZR,,2016,22.1
2.2193877551,60647,zip,HDSZR,,2016,32.9
4.1071428571,60654,zip,HDSZR,,2016,22.0
3.2142857143,60605,zip,HDSZR,,2016,23.3
3.2142857143,60610,zip,HDSZR,,2016,39.3
1.9897959184,60611,zip,HDSZR,,2016,11.0
2.9081632653,60613,zip,HDSZR,,2016,34.5
1.7602040816,60614,zip,HDSZR,,2016,16.6
3.112244898,60615,zip,HDSZR,,2016,37.1
2.1683673469,60617,zip,HDSZR,,2016,36.5
3.2142857143,60620,zip,HDSZR,,2016,70.5
4.8979591837,60626,zip,HDSZR,,2016,114.4
3.0102040816,60628,zip,HDSZR,,2016,59.0
1.6836734694,60629,zip,HDSZR,,2016,28.8
1.3520408163,60630,zip,HDSZR,,2016,10.6
1.8112244898,60631,zip,HDSZR,,2016,8.8
6.0204081633,60633,zip,HDSZR,,2016,50.1
1.6581632653,60634,zip,HDSZR,,2016,20.9
4.1071428571,60637,zip,HDSZR,,2016,75.3
1.3265306122,60638,zip,HDSZR,,2016,9.9
1.9642857143,60639,zip,HDSZR,,2016,33.0
4.1836734694,60640,zip,HDSZR,,2016,123.0
2.7806122449,60643,zip,HDSZR,,2016,35.7
5.8673469388,60644,zip,HDSZR,,2016,155.4
3.1887755102,60645,zip,HDSZR,,2016,46.4
2.4489795918,60646,zip,HDSZR,,2016,15.3
4.4642857143,60649,zip,HDSZR,,2016,94.0
3.5204081633,60651,zip,HDSZR,,2016,73.6
2.2959183673,60652,zip,HDSZR,,2016,20.9
5.3316326531,60653,zip,HDSZR,,2016,86.1
1.887755102,60655,zip,HDSZR,,2016,9.4
2.1683673469,60656,zip,HDSZR,,2016,12.3
2.3979591837,60657,zip,HDSZR,,2016,25.5
2.4744897959,60659,zip,HDSZR,,2016,24.2
3.4948979592,60660,zip,HDSZR,,2016,56.3
1.3010204082,60707,zip,HDSZR,,2016,7.7
3.8010204082,60827,zip,HDSZR,,2016,37.7
0.4081632653,1714000,place,HDSZR,,2016,46.0
3.5714285714,60601,zip,HDSZR,,2014,13.4
7.7806122449,60607,zip,HDSZR,,2014,106.0
1.862244898,60608,zip,HDSZR,,2014,27.5
