,se,g,l,a,p,d,v
0,22.5,1714000-35,neighborhood,VRDIDR,,2017-2021,49.4
1,42.1,1714000-36,neighborhood,VRDIDR,,2017-2021,55.0
2,95.8,1714000-37,neighborhood,VRDIDR,,2017-2021,130.1
3,22.5,1714000-38,neighborhood,VRDIDR,,2017-2021,58.1
4,15.3,1714000-39,neighborhood,VRDIDR,,2017-2021,20.4
5,8.4,1714000-4,neighborhood,VRDIDR,,2017-2021,13.4
6,38.9,1714000-40,neighborhood,VRDIDR,,2017-2021,84.5
7,9.3,1714000-41,neighborhood,VRDIDR,,2017-2021,11.1
8,20.4,1714000-42,neighborhood,VRDIDR,,2017-2021,44.1
9,10.6,1714000-1,neighborhood,VRDIDR,,2017-2021,29.3
10,11.4,1714000-11,neighborhood,VRDIDR,,2017-2021,19.2
11,7.2,1714000-12,neighborhood,VRDIDR,,2017-2021,9.2
12,10.8,1714000-13,neighborhood,VRDIDR,,2017-2021,10.9
13,8.4,1714000-14,neighborhood,VRDIDR,,2017-2021,17.1
14,9.4,1714000-15,neighborhood,VRDIDR,,2017-2021,29.2
15,8.8,1714000-16,neighborhood,VRDIDR,,2017-2021,20.7
16,9.5,1714000-17,neighborhood,VRDIDR,,2017-2021,22.3
17,18.1,1714000-18,neighborhood,VRDIDR,,2017-2021,23.0
18,8.5,1714000-19,neighborhood,VRDIDR,,2017-2021,27.6
19,5.9,1714000-2,neighborhood,VRDIDR,,2017-2021,13.5
20,13.5,1714000-20,neighborhood,VRDIDR,,2017-2021,25.4
21,10.7,1714000-21,neighborhood,VRDIDR,,2017-2021,22.2
22,8.8,1714000-22,neighborhood,VRDIDR,,2017-2021,24.9
23,18.4,1714000-23,neighborhood,VRDIDR,,2017-2021,89.4
24,9.0,1714000-24,neighborhood,VRDIDR,,2017-2021,29.0
25,13.5,1714000-25,neighborhood,VRDIDR,,2017-2021,90.8
26,38.4,1714000-26,neighborhood,VRDIDR,,2017-2021,131.9
27,37.0,1714000-27,neighborhood,VRDIDR,,2017-2021,129.6
28,15.5,1714000-28,neighborhood,VRDIDR,,2017-2021,60.5
29,28.4,1714000-29,neighborhood,VRDIDR,,2017-2021,136.8
30,9.5,1714000-3,neighborhood,VRDIDR,,2017-2021,25.6
31,8.3,1714000-30,neighborhood,VRDIDR,,2017-2021,24.4
32,9.6,1714000-31,neighborhood,VRDIDR,,2017-2021,18.7
33,15.0,1714000-33,neighborhood,VRDIDR,,2017-2021,24.5
34,12.7,1714000-34,neighborhood,VRDIDR,,2017-2021,12.9
35,9.6,1714000-10,neighborhood,VRDIDR,,2017-2021,19.5
36,6.9,1714000-8,neighborhood,VRDIDR,,2017-2021,19.1
37,10.9,1714000-32,neighborhood,VRDIDR,,2017-2021,17.9
38,14.5,1714000-43,neighborhood,VRDIDR,,2017-2021,53.9
39,20.0,1714000-44,neighborhood,VRDIDR,,2017-2021,63.0
40,25.6,1714000-45,neighborhood,VRDIDR,,2017-2021,39.3
41,18.5,1714000-46,neighborhood,VRDIDR,,2017-2021,52.8
42,26.1,1714000-47,neighborhood,VRDIDR,,2017-2021,16.7
43,20.9,1714000-48,neighborhood,VRDIDR,,2017-2021,32.0
44,15.9,1714000-49,neighborhood,VRDIDR,,2017-2021,55.8
45,6.7,1714000-5,neighborhood,VRDIDR,,2017-2021,9.8
46,31.2,1714000-50,neighborhood,VRDIDR,,2017-2021,40.2
47,25.3,1714000-51,neighborhood,VRDIDR,,2017-2021,48.6
