,se,g,l,a,p,d,v
0,22.7,1714000-35,neighborhood,VRDOR,,2017-2021,50.2
1,42.1,1714000-36,neighborhood,VRDOR,,2017-2021,55.0
2,95.8,1714000-37,neighborhood,VRDOR,,2017-2021,130.1
3,22.8,1714000-38,neighborhood,VRDOR,,2017-2021,59.7
4,15.3,1714000-39,neighborhood,VRDOR,,2017-2021,20.4
5,8.4,1714000-4,neighborhood,VRDOR,,2017-2021,13.4
6,39.3,1714000-40,neighborhood,VRDOR,,2017-2021,86.3
7,9.3,1714000-41,neighborhood,VRDOR,,2017-2021,11.1
8,20.7,1714000-42,neighborhood,VRDOR,,2017-2021,45.7
9,10.6,1714000-1,neighborhood,VRDOR,,2017-2021,29.6
10,11.4,1714000-11,neighborhood,VRDOR,,2017-2021,19.2
11,7.2,1714000-12,neighborhood,VRDOR,,2017-2021,9.2
12,10.8,1714000-13,neighborhood,VRDOR,,2017-2021,10.9
13,8.5,1714000-14,neighborhood,VRDOR,,2017-2021,17.5
14,9.5,1714000-15,neighborhood,VRDOR,,2017-2021,29.6
15,9.0,1714000-16,neighborhood,VRDOR,,2017-2021,21.2
16,10.0,1714000-17,neighborhood,VRDOR,,2017-2021,22.7
17,18.1,1714000-18,neighborhood,VRDOR,,2017-2021,23.0
18,8.6,1714000-19,neighborhood,VRDOR,,2017-2021,27.9
19,5.9,1714000-2,neighborhood,VRDOR,,2017-2021,13.5
20,13.8,1714000-20,neighborhood,VRDOR,,2017-2021,26.2
21,11.2,1714000-21,neighborhood,VRDOR,,2017-2021,23.6
22,9.0,1714000-22,neighborhood,VRDOR,,2017-2021,25.8
23,18.6,1714000-23,neighborhood,VRDOR,,2017-2021,91.6
24,9.1,1714000-24,neighborhood,VRDOR,,2017-2021,29.7
25,13.7,1714000-25,neighborhood,VRDOR,,2017-2021,92.9
26,38.6,1714000-26,neighborhood,VRDOR,,2017-2021,133.0
27,37.4,1714000-27,neighborhood,VRDOR,,2017-2021,132.0
28,15.7,1714000-28,neighborhood,VRDOR,,2017-2021,62.2
29,28.8,1714000-29,neighborhood,VRDOR,,2017-2021,140.0
30,9.5,1714000-3,neighborhood,VRDOR,,2017-2021,25.6
31,8.3,1714000-30,neighborhood,VRDOR,,2017-2021,24.7
32,9.6,1714000-31,neighborhood,VRDOR,,2017-2021,18.7
33,15.0,1714000-33,neighborhood,VRDOR,,2017-2021,24.5
34,12.7,1714000-34,neighborhood,VRDOR,,2017-2021,12.9
35,9.8,1714000-10,neighborhood,VRDOR,,2017-2021,20.2
36,6.9,1714000-8,neighborhood,VRDOR,,2017-2021,19.3
37,10.9,1714000-32,neighborhood,VRDOR,,2017-2021,17.9
38,14.7,1714000-43,neighborhood,VRDOR,,2017-2021,55.5
39,20.2,1714000-44,neighborhood,VRDOR,,2017-2021,63.9
40,26.1,1714000-45,neighborhood,VRDOR,,2017-2021,40.5
41,18.6,1714000-46,neighborhood,VRDOR,,2017-2021,53.3
42,26.1,1714000-47,neighborhood,VRDOR,,2017-2021,16.7
43,21.6,1714000-48,neighborhood,VRDOR,,2017-2021,34.1
44,16.2,1714000-49,neighborhood,VRDOR,,2017-2021,57.6
45,6.9,1714000-5,neighborhood,VRDOR,,2017-2021,10.3
46,32.0,1714000-50,neighborhood,VRDOR,,2017-2021,42.2
47,25.6,1714000-51,neighborhood,VRDOR,,2017-2021,49.9
48,14.6,1714000-52,neighborhood,VRDOR,,2017-2021,24.5
49,18.8,1714000-53,neighborhood,VRDOR,,2017-2021,50.4
50,42.5,1714000-54,neighborhood,VRDOR,,2017-2021,74.3
51,23.4,1714000-55,neighborhood,VRDOR,,2017-2021,25.4
52,11.1,1714000-56,neighborhood,VRDOR,,2017-2021,22.8
53,15.0,1714000-57,neighborhood,VRDOR,,2017-2021,20.5
54,8.7,1714000-58,neighborhood,VRDOR,,2017-2021,18.9
55,15.7,1714000-59,neighborhood,VRDOR,,2017-2021,23.3
56,6.1,1714000-6,neighborhood,VRDOR,,2017-2021,15.8
57,9.7,1714000-60,neighborhood,VRDOR,,2017-2021,17.6
58,16.0,1714000-61,neighborhood,VRDOR,,2017-2021,52.3
59,13.9,1714000-62,neighborhood,VRDOR,,2017-2021,19.5
60,11.7,1714000-63,neighborhood,VRDOR,,2017-2021,23.5
61,14.7,1714000-64,neighborhood,VRDOR,,2017-2021,29.5
62,11.0,1714000-65,neighborhood,VRDOR,,2017-2021,19.5
63,13.4,1714000-66,neighborhood,VRDOR,,2017-2021,46.3
64,20.3,1714000-67,neighborhood,VRDOR,,2017-2021,67.7
65,23.8,1714000-68,neighborhood,VRDOR,,2017-2021,79.0
66,19.9,1714000-69,neighborhood,VRDOR,,2017-2021,62.1
67,5.8,1714000-7,neighborhood,VRDOR,,2017-2021,10.2
68,8.8,1714000-70,neighborhood,VRDOR,,2017-2021,18.4
69,15.8,1714000-71,neighborhood,VRDOR,,2017-2021,56.5
70,10.6,1714000-72,neighborhood,VRDOR,,2017-2021,11.1
71,19.1,1714000-73,neighborhood,VRDOR,,2017-2021,48.2
72,11.3,1714000-74,neighborhood,VRDOR,,2017-2021,15.2
73,16.4,1714000-75,neighborhood,VRDOR,,2017-2021,28.2
74,15.8,1714000-76,neighborhood,VRDOR,,2017-2021,18.8
75,8.9,1714000-77,neighborhood,VRDOR,,2017-2021,24.0
76,18.0,1714000-9,neighborhood,VRDOR,,2017-2021,22.6
77,1.7,1714000,place,VRDOR,,2017-2021,37.1
0,21.1,1714000-35,neighborhood,VRDOR,,2016-2020,41.9
1,39.1,1714000-36,neighborhood,VRDOR,,2016-2020,51.0
2,86.7,1714000-37,neighborhood,VRDOR,,2016-2020,105.2
3,20.9,1714000-38,neighborhood,VRDOR,,2016-2020,48.5
4,12.9,1714000-39,neighborhood,VRDOR,,2016-2020,16.1
5,8.6,1714000-4,neighborhood,VRDOR,,2016-2020,14.4
6,38.6,1714000-40,neighborhood,VRDOR,,2016-2020,82.4
7,9.5,1714000-41,neighborhood,VRDOR,,2016-2020,11.2
8,18.6,1714000-42,neighborhood,VRDOR,,2016-2020,36.5
9,10.5,1714000-1,neighborhood,VRDOR,,2016-2020,28.3
10,12.6,1714000-11,neighborhood,VRDOR,,2016-2020,23.5
11,10.3,1714000-12,neighborhood,VRDOR,,2016-2020,14.7
12,8.7,1714000-13,neighborhood,VRDOR,,2016-2020,7.7
13,8.8,1714000-14,neighborhood,VRDOR,,2016-2020,18.5
14,8.8,1714000-15,neighborhood,VRDOR,,2016-2020,25.0
15,9.2,1714000-16,neighborhood,VRDOR,,2016-2020,22.2
16,10.1,1714000-17,neighborhood,VRDOR,,2016-2020,23.6
17,17.1,1714000-18,neighborhood,VRDOR,,2016-2020,20.2
18,8.5,1714000-19,neighborhood,VRDOR,,2016-2020,26.4
19,5.3,1714000-2,neighborhood,VRDOR,,2016-2020,11.1
20,12.0,1714000-20,neighborhood,VRDOR,,2016-2020,20.2
21,11.5,1714000-21,neighborhood,VRDOR,,2016-2020,24.9
22,8.2,1714000-22,neighborhood,VRDOR,,2016-2020,21.5
23,17.8,1714000-23,neighborhood,VRDOR,,2016-2020,83.6
24,8.8,1714000-24,neighborhood,VRDOR,,2016-2020,27.5
25,12.6,1714000-25,neighborhood,VRDOR,,2016-2020,78.0
26,31.7,1714000-26,neighborhood,VRDOR,,2016-2020,92.6
27,34.1,1714000-27,neighborhood,VRDOR,,2016-2020,116.5
28,14.5,1714000-28,neighborhood,VRDOR,,2016-2020,51.0
29,27.1,1714000-29,neighborhood,VRDOR,,2016-2020,126.7
30,9.3,1714000-3,neighborhood,VRDOR,,2016-2020,24.2
31,8.0,1714000-30,neighborhood,VRDOR,,2016-2020,22.7
32,10.7,1714000-31,neighborhood,VRDOR,,2016-2020,19.8
33,15.1,1714000-33,neighborhood,VRDOR,,2016-2020,24.5
34,9.8,1714000-34,neighborhood,VRDOR,,2016-2020,9.5
35,8.9,1714000-10,neighborhood,VRDOR,,2016-2020,17.6
36,6.5,1714000-8,neighborhood,VRDOR,,2016-2020,16.7
37,10.1,1714000-32,neighborhood,VRDOR,,2016-2020,13.8
38,12.9,1714000-43,neighborhood,VRDOR,,2016-2020,42.7
39,19.1,1714000-44,neighborhood,VRDOR,,2016-2020,57.1
40,26.5,1714000-45,neighborhood,VRDOR,,2016-2020,37.5
41,17.6,1714000-46,neighborhood,VRDOR,,2016-2020,47.9
42,42.6,1714000-47,neighborhood,VRDOR,,2016-2020,30.4
43,19.1,1714000-48,neighborhood,VRDOR,,2016-2020,27.2
44,14.9,1714000-49,neighborhood,VRDOR,,2016-2020,50.9
45,9.0,1714000-5,neighborhood,VRDOR,,2016-2020,12.6
46,26.3,1714000-50,neighborhood,VRDOR,,2016-2020,33.9
47,22.2,1714000-51,neighborhood,VRDOR,,2016-2020,36.8
48,14.9,1714000-52,neighborhood,VRDOR,,2016-2020,24.3
49,17.6,1714000-53,neighborhood,VRDOR,,2016-2020,45.5
50,42.9,1714000-54,neighborhood,VRDOR,,2016-2020,72.9
51,23.6,1714000-55,neighborhood,VRDOR,,2016-2020,26.5
52,11.1,1714000-56,neighborhood,VRDOR,,2016-2020,24.4
53,11.7,1714000-57,neighborhood,VRDOR,,2016-2020,12.1
54,8.2,1714000-58,neighborhood,VRDOR,,2016-2020,16.7
55,13.7,1714000-59,neighborhood,VRDOR,,2016-2020,16.5
56,6.1,1714000-6,neighborhood,VRDOR,,2016-2020,15.1
57,10.5,1714000-60,neighborhood,VRDOR,,2016-2020,20.6
58,15.3,1714000-61,neighborhood,VRDOR,,2016-2020,48.1
59,13.7,1714000-62,neighborhood,VRDOR,,2016-2020,18.8
60,10.4,1714000-63,neighborhood,VRDOR,,2016-2020,19.1
61,14.9,1714000-64,neighborhood,VRDOR,,2016-2020,30.6
62,11.6,1714000-65,neighborhood,VRDOR,,2016-2020,21.5
