,se,g,l,a,p,d,v
0,14.3,1714000-35,neighborhood,VRHOR,,2017-2021,20.9
1,34.8,1714000-36,neighborhood,VRHOR,,2017-2021,53.7
2,59.4,1714000-37,neighborhood,VRHOR,,2017-2021,80.4
3,16.0,1714000-38,neighborhood,VRHOR,,2017-2021,37.6
4,12.3,1714000-39,neighborhood,VRHOR,,2017-2021,19.5
5,2.4,1714000-4,neighborhood,VRHOR,,2017-2021,1.7
6,32.6,1714000-40,neighborhood,VRHOR,,2017-2021,70.3
7,4.5,1714000-41,neighborhood,VRHOR,,2017-2021,4.8
8,20.1,1714000-42,neighborhood,VRHOR,,2017-2021,51.5
9,5.4,1714000-1,neighborhood,VRHOR,,2017-2021,8.0
10,2.8,1714000-11,neighborhood,VRHOR,,2017-2021,2.5
11,,1714000-12,neighborhood,VRHOR,,2017-2021,0.0
12,7.2,1714000-13,neighborhood,VRHOR,,2017-2021,6.4
13,3.8,1714000-14,neighborhood,VRHOR,,2017-2021,5.8
14,2.9,1714000-15,neighborhood,VRHOR,,2017-2021,4.1
15,2.9,1714000-16,neighborhood,VRHOR,,2017-2021,3.4
16,4.8,1714000-17,neighborhood,VRHOR,,2017-2021,5.9
17,7.2,1714000-18,neighborhood,VRHOR,,2017-2021,6.0
18,5.1,1714000-19,neighborhood,VRHOR,,2017-2021,11.4
19,3.1,1714000-2,neighborhood,VRHOR,,2017-2021,5.0
20,5.6,1714000-20,neighborhood,VRHOR,,2017-2021,6.6
21,3.7,1714000-21,neighborhood,VRHOR,,2017-2021,3.6
22,2.8,1714000-22,neighborhood,VRHOR,,2017-2021,3.3
23,10.7,1714000-23,neighborhood,VRHOR,,2017-2021,38.5
24,4.2,1714000-24,neighborhood,VRHOR,,2017-2021,6.8
25,10.9,1714000-25,neighborhood,VRHOR,,2017-2021,67.2
26,31.5,1714000-26,neighborhood,VRHOR,,2017-2021,91.1
27,23.5,1714000-27,neighborhood,VRHOR,,2017-2021,78.3
28,6.5,1714000-28,neighborhood,VRHOR,,2017-2021,12.6
29,19.9,1714000-29,neighborhood,VRHOR,,2017-2021,81.7
30,3.8,1714000-3,neighborhood,VRHOR,,2017-2021,4.5
31,5.8,1714000-30,neighborhood,VRHOR,,2017-2021,14.5
32,8.0,1714000-31,neighborhood,VRHOR,,2017-2021,13.3
33,5.3,1714000-33,neighborhood,VRHOR,,2017-2021,4.4
34,11.7,1714000-34,neighborhood,VRHOR,,2017-2021,13.1
35,2.5,1714000-10,neighborhood,VRHOR,,2017-2021,1.6
36,4.0,1714000-8,neighborhood,VRHOR,,2017-2021,5.4
