,se,g,l,a,p,d,v
0,11.5,1714000-35,neighborhood,VRSUR,,2017-2021,11.1
1,,1714000-36,neighborhood,VRSUR,,2017-2021,0.0
2,7.3,1714000-37,neighborhood,VRSUR,,2017-2021,0.0
3,4.7,1714000-38,neighborhood,VRSUR,,2017-2021,4.5
4,9.8,1714000-39,neighborhood,VRSUR,,2017-2021,8.8
5,5.6,1714000-4,neighborhood,VRSUR,,2017-2021,6.0
6,8.1,1714000-40,neighborhood,VRSUR,,2017-2021,6.5
7,5.1,1714000-41,neighborhood,VRSUR,,2017-2021,5.6
8,4.7,1714000-42,neighborhood,VRSUR,,2017-2021,4.6
9,5.6,1714000-1,neighborhood,VRSUR,,2017-2021,8.5
10,8.6,1714000-11,neighborhood,VRSUR,,2017-2021,10.2
11,10.5,1714000-12,neighborhood,VRSUR,,2017-2021,10.1
12,10.3,1714000-13,neighborhood,VRSUR,,2017-2021,9.7
13,5.2,1714000-14,neighborhood,VRSUR,,2017-2021,6.7
14,5.1,1714000-15,neighborhood,VRSUR,,2017-2021,9.5
15,4.8,1714000-16,neighborhood,VRSUR,,2017-2021,5.9
16,6.4,1714000-17,neighborhood,VRSUR,,2017-2021,8.8
17,12.4,1714000-18,neighborhood,VRSUR,,2017-2021,12.3
18,4.7,1714000-19,neighborhood,VRSUR,,2017-2021,8.1
19,4.8,1714000-2,neighborhood,VRSUR,,2017-2021,8.4
20,5.1,1714000-20,neighborhood,VRSUR,,2017-2021,4.5
21,5.2,1714000-21,neighborhood,VRSUR,,2017-2021,6.0
22,4.4,1714000-22,neighborhood,VRSUR,,2017-2021,6.5
23,1.9,1714000-23,neighborhood,VRSUR,,2017-2021,1.8
24,4.1,1714000-24,neighborhood,VRSUR,,2017-2021,6.3
25,4.0,1714000-25,neighborhood,VRSUR,,2017-2021,7.2
26,12.3,1714000-26,neighborhood,VRSUR,,2017-2021,14.0
27,5.3,1714000-27,neighborhood,VRSUR,,2017-2021,5.2
28,4.7,1714000-28,neighborhood,VRSUR,,2017-2021,5.9
29,7.0,1714000-29,neighborhood,VRSUR,,2017-2021,8.3
30,7.0,1714000-3,neighborhood,VRSUR,,2017-2021,11.6
31,2.8,1714000-30,neighborhood,VRSUR,,2017-2021,3.2
32,5.7,1714000-31,neighborhood,VRSUR,,2017-2021,6.2
33,7.6,1714000-33,neighborhood,VRSUR,,2017-2021,7.6
34,8.0,1714000-34,neighborhood,VRSUR,,2017-2021,5.7
35,8.8,1714000-10,neighborhood,VRSUR,,2017-2021,15.4
36,5.5,1714000-8,neighborhood,VRSUR,,2017-2021,12.4
37,6.3,1714000-32,neighborhood,VRSUR,,2017-2021,9.0
38,5.4,1714000-43,neighborhood,VRSUR,,2017-2021,7.5
